graphs_per_s,graphs_seen,parallel_workers,wall_time_s,worker_loader_workers,worker_torch_interop_threads,worker_torch_threads
411.6612262703389,320,1,0.7773382081650198,0,1,1
85.80168468355863,320,1,3.7295305002480745,1,1,1
647.0619800532097,320,1,0.49454304203391075,0,1,2
90.96872885455295,320,1,3.517692332621664,1,1,2
261.22070035588865,640,2,2.450035541318357,0,1,1
109.69514390347268,640,2,5.834351250436157,1,1,1
294.1636158276087,640,2,2.175659957807511,0,1,2
106.76976399606842,640,2,5.994206374976784,1,1,2
347.592925779015,960,3,2.761851374991238,0,1,1
151.43175671413894,960,3,6.339489290956408,1,1,1
402.62333577064226,960,3,2.384362541139126,0,1,2
160.5808510465467,960,3,5.978296875022352,1,1,2
440.3793895470909,1280,4,2.906584709417075,0,1,1
181.46524071140084,1280,4,7.053692459128797,1,1,1
496.4176805650147,1280,4,2.5784738338552415,0,1,2
172.51137779832536,1280,4,7.419800458010286,1,1,2
